,D614G_IC50,BA1_IC50,BA2_IC50,BA3_IC50,SARS_IC50,BA1_1_IC50,BA2_12_1_IC50,BA2_75_IC50,BA5_IC50,BF7_IC50,BA2_13_IC50,BQ1_1_IC50,XBB_IC50,XBB1_5_IC50,XBB1_5_10_IC50,BA5_ELISA_compete_level,paper_reactivity,source,group
GC0104,10,6.67,5.19,NA,NA,NA,NA,4.3,4.83,NA,NA,10,10,10,10,0,cross,BA.5 convalescents,E2.2
GC0105,10,4.68,6.11,NA,NA,NA,NA,4.11,4.63,NA,NA,10,10,10,10,0,cross,BA.5 convalescents,E2.2
GC0106,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,0.34580281,cross,BA.5 convalescents,E3
GC0107,0.176,0.217,0.143,NA,10,NA,NA,0.0928,10,NA,NA,10,2.43,5.69,NA,0,cross,BA.5 convalescents,E2.2
GC0108,0.0146,0.0297,0.0165,NA,10,NA,NA,0.04727,0.0195,NA,NA,0.0736,0.138,0.0879,10,0.762255433,cross,BA.5 convalescents,A1
GC0110,0.021,10,10,NA,NA,NA,NA,10,8.23,NA,NA,10,10,10,10,0.124540018,cross,BA.5 convalescents,E3
GC0111,2.34,1.86,2.76,NA,NA,NA,NA,2.54,2.21,NA,NA,1.38,3.32,4.76,NA,0.173213866,cross,BA.5 convalescents,F1
GC0112,0.000841,10,0.28,NA,NA,NA,NA,0.2087,0.497,NA,NA,10,10,10,10,0,cross,BA.5 convalescents,E2.2
GC0113,0.51,6.27,5.45,NA,NA,NA,NA,3.74,3.31,NA,NA,5.91,4.57,8.48,NA,0,cross,BA.5 convalescents,F1
GC0114,10,2.34,0.281,NA,10,NA,NA,1.5,0.157,NA,NA,0.751,10,10,10,0.643552008,specific,BA.5 convalescents,F3
GC0115,10,4.64,5.45,NA,NA,NA,NA,2.17,2.94,NA,NA,10,7.99,10,10,0.039424142,cross,BA.5 convalescents,E2.2
GC0116,10,10,0.0191,NA,10,NA,NA,0.018,0.01,NA,NA,0.0254,0.0254,0.00217,NA,0.080132807,specific,BA.5 convalescents,F3
GC0117,0.278,0.797,0.000523,NA,10,NA,NA,0.000485,0.000888,NA,NA,10,10,10,10,0.770447295,cross,BA.5 convalescents,E1/E2.1
GC0118,0.00823,1.03,0.822,NA,NA,NA,NA,0.455,1.6,NA,NA,2.49,2.57,4.38,NA,0,cross,BA.5 convalescents,E2.2
GC0119,1.18,0.354,0.262,NA,10,NA,NA,0.00183,2.23,NA,NA,10,10,10,10,0.693720033,cross,BA.5 convalescents,C/D1
GC0120,4.44,2.28,5.45,NA,NA,NA,NA,3.12,2.77,NA,NA,1.55,3.43,6.09,NA,0,cross,BA.5 convalescents,F1
GC0122,10,10,10,NA,10,NA,NA,10,0.0539,NA,NA,10,10,10,10,0,specific,BA.5 convalescents,A1
GC0124,10,1.63,1.87,NA,NA,NA,NA,3.3,2.37,NA,NA,5.03,4.8,1.94,NA,0,cross,BA.5 convalescents,E2.2
GC0125,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,0,cross,BA.5 convalescents,F1
GC0126,0.343,0.306,0.285,NA,10,NA,NA,0.155,2.38,NA,NA,10,10,10,10,0,cross,BA.5 convalescents,E2.2
GC0127,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,0,cross,BA.5 convalescents,F1
GC0128,1.33,0.712,0.519,NA,NA,NA,NA,0.83,3.35,NA,NA,10,10,10,10,0.142391894,cross,BA.5 convalescents,E2.2
GC0129,0.00572,0.00276,0.0029,NA,10,NA,NA,0.0034,0.00289,NA,NA,0.00351,0.0064,0.00179,0.001647,0.884822752,cross,BA.5 convalescents,A1
GC0130,10,10,10,NA,10,NA,NA,0.328,0.208,NA,NA,0.981,2.46,1.92,NA,0.877231988,specific,BA.5 convalescents,A2
GC0131,10,2.43,2.38,NA,NA,NA,NA,3.91,1.89,NA,NA,10,10,10,10,0.368720332,cross,BA.5 convalescents,E2.2
GC0132,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,0,cross,BA.5 convalescents,E3
GC0133,10,5.64,3.45,NA,NA,NA,NA,7.21,3.26,NA,NA,10,10,10,10,0,cross,BA.5 convalescents,E3
GC0134,0.00438,0.00641,0.00764,NA,10,NA,NA,0.00937,0.00422,NA,NA,0.0101,0.017,0.00661,0.01571,0.703505645,cross,BA.5 convalescents,A1
GC0136,0.0918,0.0712,0.0735,NA,NA,NA,NA,0.0924,0.225,NA,NA,10,10,10,10,0.056170961,cross,BA.5 convalescents,E1/E2.1
GC0137,0.151,10,10,NA,10,NA,NA,10,10,NA,NA,10,10,10,10,0.138570168,cross,BA.5 convalescents,F1
GC0139,0.0287,0.0984,0.149,NA,10,NA,NA,0.0852,0.469,NA,NA,10,10,10,10,0,cross,BA.5 convalescents,E2.2
GC0140,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,0,cross,BA.5 convalescents,F1
GC0141,0.0123,10,10,NA,NA,NA,NA,10,10,NA,NA,10,10,10,10,0,cross,BA.5 convalescents,A1
GC0142,1.14,1.6,1.94,NA,NA,NA,NA,2.7,3.07,NA,NA,10,3.57,1.51,NA,0,cross,BA.5 convalescents,E2.2
GC0143,0.0191,10,10,NA,NA,NA,NA,10,10,NA,NA,10,10,10,10,0,cross,BA.5 convalescents,F1
GC0144,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,0,cross,BA.5 convalescents,F1
GC0145,10,0.212,6e-04,NA,10,NA,NA,0.0585,10,NA,NA,10,10,10,10,0,cross,BA.5 convalescents,D2
GC0146,3.7,1.45,2.09,NA,NA,NA,NA,1.86,3.86,NA,NA,5.63,3.93,8.68,NA,0.825660377,cross,BA.5 convalescents,E3
GC0147,0.0033,0.221,0.405,NA,10,NA,NA,0.005659,0.0306,NA,NA,0.0329,10,10,10,0.062691278,cross,BA.5 convalescents,C/D1
GC0148,10,4.44,4.57,NA,10,NA,NA,4.89,4.23,NA,NA,10,10,10,10,0.064010097,cross,BA.5 convalescents,E2.2
GC0149,0.000667,10,10,NA,10,NA,NA,0.0009444,5.86,NA,NA,10,0.596,1.05,NA,0,cross,BA.5 convalescents,C/D1
GC0150,0.199,0.901,0.409,NA,10,NA,NA,0.644,3.87,NA,NA,10,10,10,10,0.149292406,cross,BA.5 convalescents,E1/E2.1
GC0151,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,0,cross,BA.5 convalescents,F1
GC0152,0.00547,0.00399,0.00431,NA,10,NA,NA,0.812,0.00792,NA,NA,10,10,10,10,0.728549013,cross,BA.5 convalescents,A1
GC0153,0.104,0.665,0.503,NA,10,NA,NA,0.41,0.441,NA,NA,1.98,2,2.24,NA,0.710338499,cross,BA.5 convalescents,F1
GC0154,0.445,6.5,4.15,NA,10,NA,NA,4.37,3.77,NA,NA,4.07,3.18,7.49,NA,0.290489478,cross,BA.5 convalescents,F1
GC0155,10,5.16,5.57,10,10,10,10,3.28,10,NA,10,10,10,10,10,0.380104052,cross,BA.5 convalescents,E2.2
GC0156,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,0,cross,BA.5 convalescents,F1
GC0157,10,0.699,1.28,NA,NA,NA,NA,0.943,1.39,NA,NA,10,10,10,10,0,cross,BA.5 convalescents,E2.2
GC0158,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,0,specific,BA.5 convalescents,F3
GC0159,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,0,cross,BA.5 convalescents,F1
GC0160,10,4.91,5.1,10,10,10,10,3.17,10,NA,10,10,10,10,10,0.302957501,cross,BA.5 convalescents,E2.2
GC0161,0.102,0.141,0.0931,NA,10,NA,NA,0.0796,0.0978,NA,NA,10,2.25,1.71,NA,0,cross,BA.5 convalescents,E1/E2.1
GC0162,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,0,cross,BA.5 convalescents,E3
GC0163,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,0,cross,BA.5 convalescents,F1
GC0164,2.8,0.54,1.02,NA,NA,NA,NA,0.658,2.23,NA,NA,2.3,1.92,2.36,NA,0,cross,BA.5 convalescents,E2.2
GC0165,0.00443,0.00437,0.00603,NA,10,NA,NA,0.01093,0.00714,NA,NA,0.38,0.436,0.894,NA,0.225362126,cross,BA.5 convalescents,A1
GC0167,1.82,0.538,1.03,NA,10,NA,NA,0.49,0.682,NA,NA,0.796,0.825,1.39,NA,0.084046438,cross,BA.5 convalescents,E3
GC0168,0.00073,0.233,0.235,NA,10,NA,NA,0.00124,0.817,NA,NA,0.855,10,10,10,0.424487687,cross,BA.5 convalescents,C/D1
GC0169,0.00116,10,0.392,NA,10,NA,NA,10,1.09,NA,NA,10,10,10,10,0,cross,BA.5 convalescents,E1/E2.1
GC0170,0.000663,0.000736,0.000746,NA,10,NA,NA,0.000989,0.000526,NA,NA,3.9,0.107,0.223,NA,0.510108095,cross,BA.5 convalescents,E1/E2.1
GC0171,0.00312,10,10,NA,10,NA,NA,10,1.81,NA,NA,10,10,10,10,0,cross,BA.5 convalescents,D2
GC0172,10,1.22,0.203,NA,10,NA,NA,1.8,0.263,NA,NA,2.04,10,10,10,0.519908679,specific,BA.5 convalescents,D3
GC0173,0.487,2.22,2.62,NA,10,NA,NA,0.743,4.24,NA,NA,10,6.18,10,10,0,cross,BA.5 convalescents,E1/E2.1
GC0174,0.0529,10,0.0366,NA,10,NA,NA,2.78,0.0364,NA,NA,10,10,10,10,0.359042233,cross,BA.5 convalescents,D2
GC0175,0.00105,10,2.08,NA,10,NA,NA,10,7.31,NA,NA,10,10,10,10,0.186860861,cross,BA.5 convalescents,D2
GC0176,0.000892,10,0.0374,NA,10,NA,NA,10,0.0396,NA,NA,2.37,10,10,10,0.132340904,cross,BA.5 convalescents,E1/E2.1
GC0177,0.027,0.0762,0.057,NA,10,NA,NA,0.0721,0.0832,NA,NA,10,10,10,10,0,cross,BA.5 convalescents,E1/E2.1
GC0178,4.99,2.08,3.87,NA,NA,NA,NA,2.98,4.63,NA,NA,7.71,2.55,1.57,NA,0,cross,BA.5 convalescents,E2.2
GC0179,5.93,3.16,3.78,NA,NA,NA,NA,3.58,9.08,NA,NA,10,6.6,3.65,NA,0,cross,BA.5 convalescents,E2.2
GC0180,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,0.434077269,specific,BA.5 convalescents,E1/E2.1
GC0181,10,1.6,1.67,10,10,10,10,1.67,10,NA,10,10,1.4,2.63,NA,0,cross,BA.5 convalescents,E2.2
GC0182,0.00645,0.0385,0.0656,NA,10,NA,NA,0.2727,0.184,NA,NA,10,10,10,10,0,cross,BA.5 convalescents,A1
GC0183,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,0,cross,BA.5 convalescents,F1
GC0184,0.952,0.422,0.615,NA,10,NA,NA,0.59,0.495,NA,NA,0.654,1,0.735,NA,0,cross,BA.5 convalescents,E3
GC0185,0.0178,0.0651,0.0547,NA,10,NA,NA,0.0229,0.0786,NA,NA,10,2.22,5.02,NA,0,cross,BA.5 convalescents,E1/E2.1
GC0186,1.25,0.341,0.615,NA,NA,NA,NA,0.421,0.944,NA,NA,2.2,1.96,1.86,NA,0,cross,BA.5 convalescents,E3
GC0187,10,2.65,2.76,NA,NA,NA,NA,3.33,2.76,NA,NA,10,2.13,2.94,NA,0,cross,BA.5 convalescents,E2.2
GC0188,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,0,cross,BA.5 convalescents,E3
GC0189,2.2,10,0.178,NA,10,NA,NA,10,0.0735,NA,NA,10,10,10,10,0.701048391,cross,BA.5 convalescents,D2
GC0190,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,0,cross,BA.5 convalescents,F1
GC0191,0.0288,3.23,0.0202,NA,10,NA,NA,3.64,0.0218,NA,NA,10,4.14,3.98,NA,0.598544572,cross,BA.5 convalescents,D2
GC0192,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,0.09188283,specific,BA.5 convalescents,F1
GC0193,10,3.83,3.9,NA,NA,NA,NA,4.1,3.97,NA,NA,10,3.56,3.7,NA,0,cross,BA.5 convalescents,E2.2
GC0194,0.0142,0.174,0.12,NA,NA,NA,NA,0.0169,0.143,NA,NA,2.94,0.403,0.942,NA,0,cross,BA.5 convalescents,E1/E2.1
GC0195,10,1.2,2.04,NA,NA,NA,NA,1.97,2.85,NA,NA,10,2,0.898,NA,0.200465954,cross,BA.5 convalescents,E2.2
GC0196,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,0.004069494,cross,BA.5 convalescents,F1
GC0197,10,10,0.0176,NA,10,NA,NA,10,0.0242,NA,NA,1.27,10,10,10,0.634716808,cross,BA.5 convalescents,D2
GC0198,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,0.150201729,cross,BA.5 convalescents,E1/E2.1
GC0200,1.46,0.556,0.72,NA,NA,NA,NA,0.554,1.38,NA,NA,2.95,2.28,1.05,NA,0,cross,BA.5 convalescents,E2.2
GC0201,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,0,cross,BA.5 convalescents,E3
GC0204,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,0,specific,BA.5 convalescents,C/D1
GC0205,0.00327,0.00219,0.00498,NA,NA,NA,NA,0.0212,0.00678,NA,NA,3.33,3.31,6.1,NA,0,cross,BA.5 convalescents,D3
GC0206,10,1.19,1.09,NA,10,NA,NA,0.721,0.768,NA,NA,10,0.754,0.422,NA,0,cross,BA.5 convalescents,E2.2
GC0207,0.000695,10,10,NA,10,NA,NA,0.18,2.87,NA,NA,5.46,10,10,10,0,cross,BA.5 convalescents,C/D1
GC0208,0.00149,0.000947,10,NA,10,NA,NA,0.0007488,0.635,NA,NA,10,10,10,10,0.182528446,cross,BA.5 convalescents,E1/E2.1
GC0209,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,0,cross,BA.5 convalescents,F1
GC0210,0.197,1.31,1.85,NA,NA,NA,NA,2.55,1.65,NA,NA,2.65,2.61,1.22,NA,0.462777112,cross,BA.5 convalescents,F1
GC0212,4.63,3.44,3.05,NA,NA,NA,NA,2.22,2.61,NA,NA,3.99,3.26,2.05,NA,0,cross,BA.5 convalescents,F1
GC0213,0.0148,0.0122,0.0136,NA,10,NA,NA,0.08616,0.0174,NA,NA,10,10,10,10,0.701225771,cross,BA.5 convalescents,A1
GC0215,10,10,0.00169,NA,10,NA,NA,10,3.78,NA,NA,10,10,10,10,0.120594424,cross,BA.5 convalescents,D2
GC0216,0.00728,0.0829,0.0925,NA,NA,NA,NA,0.1157,0.092,NA,NA,10,10,10,10,0.563006952,cross,BA.5 convalescents,F1
GC0217,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,0,cross,BA.5 convalescents,F1
GC0218,0.413,1.05,1.31,NA,NA,NA,NA,0.391,1.97,NA,NA,10,10,10,10,0,cross,BA.5 convalescents,E1/E2.1
GC0220,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,0.011035723,cross,BA.5 convalescents,E3
GC0222,1.64,0.605,0.336,NA,NA,NA,NA,0.557,0.352,NA,NA,2.43,1.87,1.38,NA,0,cross,BA.5 convalescents,E2.2
GC0223,0.0142,0.0308,0.0216,NA,10,NA,NA,0.027,0.122,NA,NA,10,8.79,10,10,0.425663395,cross,BA.5 convalescents,E1/E2.1
GC0224,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,0,cross,BA.5 convalescents,E2.2
GC0225,10,0.000831,0.0013,NA,10,NA,NA,0.000762,0.00232,NA,NA,10,0.333,0.196,NA,0.826546894,cross,BA.5 convalescents,E1/E2.1
GC0226,0.334,10,10,NA,NA,NA,NA,10,10,NA,NA,10,10,10,10,0.467005429,cross,BA.5 convalescents,F1
GC0227,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,0,cross,BA.5 convalescents,F1
GC0228,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,0,cross,BA.5 convalescents,F1
GC0230,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,0,cross,BA.5 convalescents,F1
GC0231,0.00123,10,10,NA,10,NA,NA,0.167,0.407,NA,NA,0.379,2.28,1.57,NA,0.647321619,cross,BA.5 convalescents,C/D1
GC0235,10,1.88,2.11,NA,NA,NA,NA,1.68,2.45,NA,NA,8.28,2.07,2.8,NA,0,cross,BA.5 convalescents,E3
GC0236,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,0.136444216,cross,BA.5 convalescents,E2.2
GC0237,10,10,10,NA,10,NA,NA,10,0.63,NA,NA,10,10,10,10,0.428103411,specific,BA.5 convalescents,E1/E2.1
GC0239,0.00623,0.0368,0.0247,NA,10,NA,NA,0.0196,0.0351,NA,NA,10,3.06,3.28,NA,0,cross,BA.5 convalescents,E1/E2.1
GC0240,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,0.282963148,cross,BA.5 convalescents,E3
GC0241,0.764,3.41,2.48,NA,NA,NA,NA,2.38,2.3,NA,NA,3.69,2.79,4.32,NA,0,cross,BA.5 convalescents,F1
GC0242,0.00109,0.00961,0.00934,NA,10,NA,NA,0.00869,0.0361,NA,NA,10,3.06,4.4,NA,0.493243711,cross,BA.5 convalescents,E1/E2.1
GC0243,0.00425,0.0048,0.00815,NA,10,NA,NA,0.154,0.0125,NA,NA,1.18,1.32,0.596,NA,0.712943387,cross,BA.5 convalescents,A1
GC0244,0.145,0.333,0.27,NA,10,NA,NA,0.154,10,NA,NA,10,10,10,10,0,cross,BA.5 convalescents,E2.2
GC0245,0.726,4.64,4.91,NA,NA,NA,NA,4.53,4.3,NA,NA,2.46,5.14,7.91,NA,0,cross,BA.5 convalescents,F1
GC0246,10,10,0.511,NA,10,NA,NA,10,0.389,NA,NA,10,10,10,10,0.325440529,specific,BA.5 convalescents,D3
GC0247,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,0,cross,BA.5 convalescents,F1
GC0248,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,0,cross,BA.5 convalescents,F1
GC0250,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,0,cross,BA.5 convalescents,F1
GC0253,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,0.301748177,specific,BA.5 convalescents,F3
GC0254,0.00575,0.00764,0.00641,NA,10,NA,NA,0.346,0.00588,NA,NA,2.11,2.24,3.06,NA,0.77738178,cross,BA.5 convalescents,A1
GC0255,0.183,10,2.86,NA,NA,NA,NA,3.28,2.41,NA,NA,3.28,3.19,1.55,NA,0.192563182,cross,BA.5 convalescents,F1
GC0256,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,0,cross,BA.5 convalescents,F1
GC0257,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,0.387081846,specific,BA.5 convalescents,D4
GC0258,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,0,cross,BA.5 convalescents,E2.2
GC0259,0.21,0.598,0.309,NA,10,NA,NA,0.489,0.0918,NA,NA,10,10,10,10,0,cross,BA.5 convalescents,E1/E2.1
GC0260,0.0164,0.384,10,NA,NA,NA,NA,10,10,NA,NA,10,10,10,10,0.388408179,cross,BA.5 convalescents,F1
GC0261,0.00365,0.112,0.204,NA,10,NA,NA,0.0329,10,NA,NA,10,10,10,10,0,cross,BA.5 convalescents,C/D1
GC0262,0.0016,10,10,NA,10,NA,NA,0.00381,0.0413,NA,NA,0.163,10,10,10,0.46390302,cross,BA.5 convalescents,C/D1
GC0263,0.00383,0.00117,0.00273,NA,10,NA,NA,0.00244,0.0211,NA,NA,0.0578,10,10,10,0.635874352,cross,BA.5 convalescents,A1
GC0264,0.00303,0.0716,0.0963,NA,10,NA,NA,0.446,0.0629,NA,NA,0.537,0.62,1.16,NA,0,cross,BA.5 convalescents,A1
GC0265,10,6.51,10,NA,NA,NA,NA,7.8,5.67,NA,NA,4.95,2.69,6.35,NA,0,cross,BA.5 convalescents,E2.2
GC0266,0.0167,0.658,0.786,NA,10,NA,NA,0.117,10,NA,NA,10,10,10,10,0,cross,BA.5 convalescents,E1/E2.1
GC0267,0.00161,0.00506,0.0129,NA,10,NA,NA,0.0229,0.0173,NA,NA,0.313,1.79,1.82,NA,0,cross,BA.5 convalescents,D2
